ID1	ID2	HetHet	IBS0	Kinship
19	6039	0.046	0.0142	0.0585
902	868	0.068	0.0065	0.2056
1468	6553	0.072	0.0057	0.2305
1626	1033	0.048	0.0137	0.0752
1859	3154	0.046	0.0132	0.0708
2130	3504	0.045	0.0149	0.0523
2431	6441	0.046	0.0151	0.0571
3185	5025	0.047	0.014	0.0703
3529	5797	0.045	0.014	0.0648
3977	1576	0.043	0.0155	0.0456
4190	1590	0.077	0.0043	0.2564
4377	1838	0.046	0.0146	0.0623
5199	2072	0.046	0.0145	0.0605
5266	6757	0.075	0.0045	0.2463
5479	2572	0.077	0.0049	0.2526
5716	3210	0.068	0.0	0.2531
5798	2290	0.047	0.0144	0.0659
5898	3738	0.044	0.0155	0.045
6091	7536	0.045	0.0142	0.0625
6365	2948	0.044	0.0152	0.051
6465	5221	0.045	0.0146	0.0555
6625	305	0.068	0.0	0.25
7979	3101	0.046	0.0144	0.0601
